Stop_Name,Daily_All_BA,geometry,Neighbor_Mean_BA,Quadrant
Al Nahda Square (5th Settlement),87.0,POINT (352360.5655733009 3319733.239520585),380.25,LL
Al Nahyan Hospital (Sheikh Zayed),6506.0,,,LL
Al Nakhl (Nile Corniche),1696.0,POINT (334798.3422056396 3307681.8442605846),1295.375,HL (outlier)
Al Narges 4 (5th Settlement),70.0,POINT (350453.94847668114 3320445.401608889),760.875,LL
Al Narges 7 (5th Settlement),125.0,POINT (351395.82175525546 3320152.112415122),292.25,LL
Al Narges 8 (5th Settlement),23.0,POINT (351575.73127071053 3319967.4207292623),305.0,LL
Al Nasr Hospital (Helwan),9418.0,POINT (337856.26175845665 3302162.910739152),4073.5,HH (cluster)
Al Nasr Hotel ( Al Tayaran),1081.0,,,LL
Al Nasr Restaurant (Basateen),953.0,POINT (333268.16139830084 3318508.8514534375),2256.4309156946038,LL
Al Nasr School ( Al Waili ),6565.0,POINT (334006.60915549216 3330741.0654691514),3297.25,HH (cluster)
Al Noaman Palace ( Orouba Rd. ),68.0,,,LL
Al Noor Al Mohammady (Imbaba),417.0,POINT (327797.8672987355 3330258.246379295),7044.375,LH (outlier)
Al Noqrashy School (Hadayek Al Qobba),8261.0,POINT (335515.2415767836 3330211.9363407493),5120.5,HH (cluster)
Al Nour Mosque (Abbaseya),2386.0,POINT (334446.9248799989 3328325.743841328),8101.75,HH (cluster)
Al Nour Mosque (Helwan Corniche),511.0,POINT (335833.99689214595 3299281.157832043),1527.125,LL
Al Nour Mosque (Nasr City),2139.0,POINT (344401.42326232383 3325406.9092863826),8069.375,HH (cluster)
Al Nozha Al Gadeeda,2667.0,POINT (342187.8274826677 3334221.156075869),5495.375,HH (cluster)
Al Nozha Al Gadida,3923.0,POINT (342293.68627047504 3333807.043142812),1806.125,HL (outlier)
Al Nozha St. & 30 St. (Sheikh Zayed),75.0,POINT (308360.8203112694 3325096.7156266235),507.625,LL
Al Nozha St. & Al Horreya (Sheikh Zayed),1765.0,POINT (308103.0127141733 3325449.458184525),289.25,HL (outlier)
Al Omraneyya,2542.0,POINT (326194.1405587564 3319538.1050635083),3375.125,HH (cluster)
Al Omraneyya Al Gadida,13856.0,POINT (325338.2079466671 3318895.183893589),3325.375,HH (cluster)
Al Omraneyya Bridge Entrance from Giza,2431.0,POINT (327235.247418918 3320455.8405377963),3949.5,HH (cluster)
Al Omraneyya Bridge Exit,719.0,POINT (326874.1467581275 3319975.5331192887),2352.875,LL
Al Orouba Rd ( Al Thawra St.),1531.0,,,LL
Al Orouba St. & Mergheny St.,833.0,POINT (338525.3593295292 3329419.832186072),2743.25,LH (outlier)
Al Othman Motors (Ring Rd.),122.0,POINT (341979.0515733103 3338281.243106547),4377.875,LH (outlier)
Al Qanater Al Khayriya,5276.0,POINT (320262.93937065406 3341846.718982818),3002.25,HH (cluster)
Al Qawmeya Cement Club,53.0,POINT (335731.6816831229 3300431.886197191),1232.75,LL
Al Qobba Al Fidaweyya Mosque (Abbaseya),5609.528167157073,POINT (334263.3871529129 3327691.7004251345),7009.940826771861,HH (cluster)
Al Qudsi Mosque (Ain Shams St.),8231.0,POINT (338713.3136196028 3335178.4235388217),4578.375,HH (cluster)
Al Rabwa (Sheikh Zayed),17.0,POINT (307148.52291123633 3326732.5242946534),431.25,LL
Al Rahma Mosque (Airport Rd.),786.0,POINT (343197.8084933498 3333313.853759206),1616.6909511002991,LL
Al Rahman Mosque (1st Settlement),428.0,POINT (351077.9596017269 3325651.0494708056),2254.5,LL
Al Rahman Mosque (Al Salam City),197.0,POINT (348097.37479248096 3338743.2733168625),1329.5,LL
Al Rashaah Steps (Ring Rd.),439.0,POINT (338577.48959642294 3338074.656232252),2607.125,LH (outlier)
Al Rawda & Al Horreya St.,66.0,POINT (307472.7899096531 3324980.5466795056),507.25,LL
Al Rawda Square (Al Manial),1253.0,POINT (328790.49454912497 3321903.9514842792),4215.25,LH (outlier)
Al Rayan Hospital (Maadi),3638.0,POINT (332658.5354855859 3316429.179370195),5844.017679393402,HH (cluster)
Al Remaya Square,5655.0,POINT (319368.0509167472 3319157.752496984),1744.3442048768807,HL (outlier)
Al Saa Square,6099.0,POINT (339827.2084005429 3327641.7162867743),10285.767991033805,HH (cluster)
Al Sabteyya School,9439.0,POINT (329960.781496774 3327354.0120522883),8185.625,HH (cluster)
Al Safa Wal Marwa Mosque Steps (Ring Rd.),610.0,POINT (330281.71295411093 3319258.240633043),1752.375,LL
Al Saff,748.0,POINT (338052.4940593331 3304847.5618699864),4802.375,LH (outlier)
Al Safwa Hospital (Shubra),6693.0,POINT (330905.0900523574 3330466.876171532),5996.5,HH (cluster)
Al Safwa Mall,226.0,POINT (307366.53287968517 3322191.6707443045),623.25,LL
Al Sahel Fire Department,3547.0,POINT (330896.19884013745 3329554.8762544775),6811.125,HH (cluster)
Al Sahel Police Department,17620.0,POINT (330889.59039903746 3329389.9234960335),4254.0,HH (cluster)
Al Sahel Youth Center,5359.0,POINT (331682.74293535633 3330901.0066626905),5300.25,HH (cluster)
Al Salam,2892.0,POINT (346771.51302100817 3337030.421271416),4899.183633671125,HH (cluster)
Al Salam Center (Maadi),2095.8547003909707,POINT (333600.6647254539 3317559.0561270677),2240.2483272795957,HL (outlier)
Al Salam First Police Station,5491.0,POINT (347203.0636257715 3337511.790639154),3414.490229527938,HH (cluster)
Al Salam Hospital (Al Salam City),1337.0,POINT (347839.94852381735 3338038.5105542913),1968.375,HL (outlier)
Al Salam International Hospital,5532.0,POINT (329205.1443653824 3318448.863875147),2451.875,HL (outlier)
Al Salam Mosque (Haram St.),7473.0,POINT (325064.56551782566 3320571.42757102),3036.5,HH (cluster)
Al Salam Mosque (Nasr City),1067.0,POINT (341547.188107746 3325114.410853219),4289.5,LH (outlier)
Al Salam Mosque (Wahat Rd.),230.0,POINT (310374.4311082576 3316477.1984231113),477.875,LL
Al Salam Tunnel Exit (Ring Rd.),305.0,POINT (348381.3012952368 3336277.9326191014),3855.490229527938,LH (outlier)
Al Salam Tunnel Ring Rd. Entrance,160.0,POINT (348385.5344356626 3336299.356314822),3873.615229527938,LH (outlier)
Al Saraya Elementary School (Abbaseya),1376.0,POINT (334554.2191244544 3327525.623960467),6188.131847666495,HH (cluster)
Al Saraya Mall (5th Settlement),92.0,POINT (348623.45634518913 3319413.7268121755),803.0,LL
Al Sawah Square,1348.0,POINT (334527.48864332086 3331979.419607554),3143.75,HH (cluster)
Al Sawahel Canal St.,3295.1610746131055,POINT (327662.5510544861 3328477.052496643),4651.938357588594,HH (cluster)
Al Sawalha Complex (Al Sekka Al Hadeed St.),11879.0,POINT (333388.6012587602 3334339.6618749136),3747.75,HH (cluster)
Al Sawy Culture Wheel,2625.0,POINT (328147.07316966564 3327026.8854441834),4023.75,HH (cluster)
Al Sayeda Aisha,39579.914282377715,POINT (331834.95319349924 3323025.7622672906),2266.486914016431,HL (outlier)
Al Sayeda Khadija Mosque,940.0,POINT (341580.04512355704 3332971.8322546063),6472.5,LH (outlier)
Al Sayeda Khadija Mosque - Al Hegaz Street,2200.0,POINT (341549.99331018433 3332999.012509861),6315.0,HH (cluster)
Al Sayeda Nafeesa,488.0,POINT (331375.55882588506 3322310.3519482054),10604.364285297215,LH (outlier)
Al Sayeda Safeya Mosque - Salah Salem,73.0,,,LL
Al Sayeda Zeinab,11362.0,POINT (330583.05659558356 3323636.6756094014),3667.0,HH (cluster)
Al Sayeda Zeinab District Presidency,737.0,POINT (331061.7892459824 3323481.4903253666),9189.364285297215,LH (outlier)
Al Sekka (Ring Rd.),541.8772596192092,POINT (324922.7472280591 3328960.884577019),2899.705418087935,LH (outlier)
Al Sekka (Ring Road),817.0,,,LL
Al Sekka Al Hadid Sporting Club - Nasr City,4208.0,,,LL
Al Sekka Al Hadid Sporting Club (Nasr City),7840.0,POINT (336345.0208882233 3326466.4930555844),1208.375,HL (outlier)
Al Sewedy (Laylat Al Qadr),168.0,POINT (298011.65599377523 3314870.6209220253),266.5,LL
Al Shaarawy (Arbean St.),7832.0,POINT (337695.5674575597 3334978.001433352),3455.625,HH (cluster)
Al Shaarawy St. (Shubra Al Kheima),3739.0,POINT (334079.11653256195 3334860.860533176),4980.5,HH (cluster)
Al Shabab (Al Tagneed),811.0,POINT (317798.36487694853 3318537.052898917),2995.4692048768807,LH (outlier)
Al Shabab Entrance (1st Settlement),3053.0,POINT (350803.5453982045 3325605.845570955),1926.375,HL (outlier)
Al Shabab Entrance (5th Settlement),207.0,POINT (347416.2568019268 3318342.360595627),552.0,LL
Al Shabab Square (1st Settlement),1129.0,POINT (351746.15225960524 3325654.891580778),1313.0,LL
Al Shaboory Canal,4568.0,POINT (334482.64051376865 3334705.1809222717),4830.5,HH (cluster)
Al Shabrawy (1st Settlement),1785.0,POINT (351690.7467053563 3326398.099913132),2092.375,HL (outlier)
Al Shabrawy (Al Mansoreya Rd.),2856.0,,,LL
Al Shaheed Axis,93.0,,,LL
Al Shaheed Axis Pedestrian Bridge,33.0,,,LL
Al Shaheed Corridor,1903.0,POINT (340336.29546266416 3322464.2734282687),967.75,HL (outlier)
Al Shaheed Mosque (Al Marg),453.0,POINT (339208.6422905779 3336949.916611693),2670.5,LH (outlier)
Al Shaheed Square (Obour),314.0,POINT (352785.19865625387 3348404.034464839),646.625,LL
Al Shari' Al Gadeed (Bahteem),7010.0,POINT (333455.83500942227 3335079.109097661),4342.875,HH (cluster)
Al Sheikh Agamy (Marg),412.0,POINT (341441.533434162 3341622.4125656453),2120.5,LL
Al Sheikh Al Jadid St.,479.0,POINT (318789.21556336293 3323775.5597649273),779.0,LL
Al Sheikh Mansour,385.0,POINT (339313.0842893247 3336071.7865369623),3787.125,LH (outlier)
Al Sheikh Parking (Ahmed Helmy St.),3278.0,POINT (331954.1037824865 3330495.2429957837),2758.25,HH (cluster)
Al Shenawy St. & Sadat St.,8554.0,POINT (346127.7327476686 3336386.8194714063),3537.308633671125,HH (cluster)
Al Sherif Mosque (Manial),1325.0,,,LL
Al Shimy Car Center (Hadayeq Al Qobba),3206.0,POINT (335086.8455471933 3330390.7250053464),4660.0,HH (cluster)
Al Shorouq,307.0,,,LL
Al Shorouq Academy Entrance,630.0,POINT (366236.47828818206 3331612.2041061977),256.375,LL
Al Shorouq City Authority Steps,321.0,POINT (365883.3588856944 3337105.7319022273),221.5,LL
Al Shorouq Club (Nile Corniche),1665.0,POINT (333017.5127608519 3314017.733323017),1843.125,HL (outlier)
Al Shorouq Hospital ( 15th of May St.),8468.0,POINT (333043.44014597766 3333193.5011333507),3844.75,HH (cluster)
Al Shorouq Housing Complex Entrance,6317.0,,,LL
Al Shorouq School (Shorouq City),267.0,POINT (370166.17219105724 3337994.285931326),227.125,LL
Al Shorouq Water Station,395.0,POINT (367262.8760504676 3337490.9977135453),211.625,LL
Al Soltan Hassan Mosque,1676.0,POINT (331904.02170500555 3323544.0531345494),7237.9878841530335,HH (cluster)
Al Souq (Al Moqattam),865.0,POINT (339200.7353371204 3321202.002613979),995.75,LL
Al Taawon (Haram St),15713.0,POINT (322986.3675690758 3319728.8198391716),3449.875,HH (cluster)
Al Taawon Gas Station (Al Shabab St. Obour),86.0,POINT (351737.07541258156 3347240.477961018),291.0,LL
Al Tabba (Nasr City),11011.0,POINT (343829.91114180663 3326363.273081723),6499.25,HH (cluster)
Al Tadreeb Gate (Teraet Al Ismaili St),103.0,POINT (333299.2728378689 3332239.497818382),3062.375,LH (outlier)
Al Talateeny (Al Lebeny St.),1406.0,POINT (321862.9461508428 3318302.710424899),4543.25,HH (cluster)
Al Talbeya Steps (Ring Rd.),610.0,POINT (325250.2827428595 3318692.2819687356),4273.0,LH (outlier)
Al Tarek Al Abead & Rind Rd,271.5352406063672,,,LL
Al Tawba Mosque (Abu Al Nomros),345.0,POINT (331974.41460293054 3312231.8139071646),1088.5,LL
Al Tawheed Mosque (1st Settlement),1827.0,POINT (351724.8764937654 3326617.971350953),1842.0,HL (outlier)
Al Tawheed Mosque (Al Zaytoun),3981.0,POINT (335290.5506737253 3331117.734320434),5980.375,HH (cluster)
Al Tawheed Wal Nour - Al Waili,1010.0,POINT (335121.4207740963 3330483.4896430215),4934.5,LH (outlier)
Al Tawheed Wal Nour (10th of Ramadan),544.0,POINT (379686.230815467 3350502.3754341765),1647.375,LL
Al Tawheed Wal Nour (Abbas Al Akkad),621.0,,,LL
Al Tawheed Wal Nour (Al Geish St.),556.0,POINT (332711.214738603 3326775.3208232983),3103.7446961738397,LH (outlier)
Al Tawheed Wal Nour (Al Hossary),246.0,POINT (301158.8959466895 3317112.806164418),1105.0,LL
Al Tawheed Wal Nour (Al Nozha St.),656.0,POINT (340126.38050788647 3329984.6770591494),1269.375,LL
Al Tawheed Wal Nour (Al Nozha St),897.0,POINT (340170.1117828735 3329948.430648744),1239.25,LL
Al Tawheed Wal Nour (Al Sayeda Zeinab),7901.0,POINT (331069.50805561687 3324052.9698425457),4595.6695397483545,HH (cluster)
Al Tawheed Wal Nour (Autostrad Maadi),2799.0,POINT (334752.4312310085 3315775.639358759),663.25,HL (outlier)
Al Tawheed Wal Nour (Faisal St.),495.0,POINT (320889.73376961204 3319404.1043887516),3229.0,LH (outlier)
Al Tawheed Wal Nour (Merryland),2700.0,POINT (338562.9073055801 3331135.4780021617),5172.375,HH (cluster)
Al Tawheed Wal Nour (Mostafa Al Nahas),3913.0,,,LL
Al Tawheed Wal Nour (Warraq),2652.0,POINT (328799.311186402 3330785.208191475),4598.375,HH (cluster)
Al Tayaran St. & Mostafa Al Nahas,11104.0,POINT (338734.437109606 3325814.2214131514),3150.75,HH (cluster)
Al Teraa Al Bolaqiya St.,1676.0,POINT (332229.1526691888 3332919.35574833),7915.75,HH (cluster)
Al Thawra Hospital (Helipolis),1739.0,POINT (338658.04897592677 3330025.2089500213),4258.75,HH (cluster)
Al Tibeen,5086.0,POINT (335276.7637847051 3296532.6717141895),955.25,HL (outlier)
Al Torgoman,964.0,POINT (330085.28468905133 3326810.031734886),21530.625,LH (outlier)
Al Wafaa Wal Amal City,956.0,POINT (341432.1829009168 3324276.1788790138),2271.75,LL
Al Wagih Center (6th of October),586.0,POINT (297497.7317805584 3316486.3374053338),836.375,LL
Al Waha Compound (Shorouq City),161.0,POINT (371094.2288195648 3335428.225282474),240.375,LL
Al Wahab Mosque St. (Marg),1360.0,POINT (341518.7178712231 3341929.9456044184),2002.0,HL (outlier)
Al Ward St & Mansoureyya Rd.,345.0,,,LL
Al Warraq Central Hospital,2527.0,POINT (327867.679190999 3330452.722647517),4863.375,HH (cluster)
Al Warraq Exit (Ring Rd.),204.0,POINT (326745.33215485077 3334061.290115927),795.125,LL
Al Warraq Ferry,7147.0,POINT (328536.5171879399 3331747.1536574196),5594.125,HH (cluster)
Al Warraq Station,29604.0,POINT (327841.09430564556 3331997.0355626824),1728.25,HL (outlier)
Al Warraq Water Station,40.0,POINT (327510.79271011346 3332844.699019135),5031.0,LH (outlier)
Al Wehda (Imbaba),15226.0,POINT (328131.1970705838 3329763.359946245),5840.75,HH (cluster)
Al Wehda Square,100.0,POINT (347438.26096832036 3318026.5173122324),565.375,LL
Al Wekala (Nile Courniche),5778.0,POINT (329189.4702856793 3326668.1745196725),3516.0,HH (cluster)
Al Yasmin Compound North,88.0,POINT (300694.472998459 3314054.303724547),738.5,LL
Al Yasmine Compound (6th of October),169.0,POINT (299962.44172570703 3313683.667893047),1239.25,LL
Al Yasmine Compound Gate 3 (Sheikh Zayed),56.0,POINT (306312.72862907936 3326292.2121453895),206.75,LL
Al Zaeem (Rashah),131.0,POINT (344288.4181054738 3335766.407723055),537.25,LL
Al Zahraa & Al Bewehy St. (Alf Maskan),17681.0,POINT (339777.6559963671 3334554.349121597),4251.0,HH (cluster)
Al Zawya Al Hamra,19889.0,POINT (332965.77294425864 3330639.7040244327),2516.375,HL (outlier)
Al Zohour Nursery (Sheikh Zayed),29.0,POINT (304655.1442726511 3325753.6462235744),63.625,LL
Alex Bank (Al Hegaz),1085.0,POINT (338070.9346181623 3330681.87414063),5907.625,LH (outlier)
Alex Bank (Gameat Al Dowal St.),1403.0,POINT (326425.76741560607 3325815.3316853703),5155.5,HH (cluster)
Alexandria Desert Rd. Steps (26th of July Corrdior),1892.0,POINT (312164.2824043161 3325546.7756143687),2688.0,HH (cluster)
Alf Maskan,53744.0,POINT (340062.4800306439 3333122.2527907197),4277.25,HH (cluster)
Alf Masnaa,1019.0,POINT (353351.0558517405 3317036.7378913905),381.375,LL
Alfa Lab (Al Manial),792.0,POINT (328917.0006356229 3322690.7567272014),4665.875,LH (outlier)
Alfa Market (Nile Corniche),1135.0,POINT (330783.7613241529 3315898.8193282676),2061.382173573037,LL
Ali Abdel Halim St. & Tahrir St.,574.0,POINT (327980.8148550853 3324479.8226510203),1532.625,LL
Ali Al Sheikh Tower (Abboud),3592.0,POINT (331959.6315996079 3331279.6807016367),6518.875,HH (cluster)
Ali Basha St. & Al Qalaa St.,1984.0934787151039,POINT (331748.59106425795 3324074.554582047),4286.556158083765,HH (cluster)
Almaza Bridge Entrance,521.0,POINT (342029.5716341337 3328793.3350627),3559.3055933799483,LH (outlier)
Almaza Bridge Exit,1681.0,POINT (341981.2345806408 3328828.3391711963),3414.3055933799483,HH (cluster)
American University in Cairo (AUC) Gate 1 (New Cairo),466.0,POINT (355242.80499109346 3322524.765951615),986.0,LL
Americana Plaza Mall,2771.0,POINT (354908.24651363504 3322559.145592778),851.625,HL (outlier)
Amin Hamada St & Petroleum St.,349.0,POINT (339149.010286031 3336388.304562968),2908.875,LH (outlier)
Amir Al Shoaraa School (Al Giza),863.0,POINT (327242.40989810566 3320152.4542013058),2040.0,LL
Amir Mall (Khaloussi),1302.0,POINT (331140.23854775575 3328853.5351584936),5728.75,HH (cluster)
Amiriyyah,3555.0,POINT (335247.867109363 3331931.5036487356),4502.125,HH (cluster)
Ammar Bin Yasser School (Al Moqattam),855.0,POINT (338932.9353561612 3320252.4755440033),752.0,LL
Amoun Fountain (Obour),182.0,POINT (352565.6368287135 3340422.913781422),290.5,LL
Amr Ibn Al Aas School (Sheikh Zayed),87.0,POINT (305427.5565883465 3325980.1411901354),210.625,LL
Anas Al Wogood Borg (Badrasheen),3318.0,POINT (332948.35598534957 3303275.0338435327),1268.5,HL (outlier)
Antidote and Vacince (Mohandeseen),2239.0,POINT (327391.46937523683 3325769.432342713),2178.0,HL (outlier)
Arab African Bank (Haram St.),284.0,POINT (323658.7317640196 3319991.3498239876),5709.75,LH (outlier)
Arab Contractors Sporting Club - Nasr Road,2834.0,,,LL
Arab Contractors Sporting Club (Nasr Rd.),872.0,POINT (335599.0876444238 3326184.1978254053),2212.375,LL
Arab Engineering & Construction Company (Shubra Al Kheima),10140.0,POINT (334167.7316389661 3334812.6999882986),4180.375,HH (cluster)
Arab Investment Bank (Faisal St.),403.0,POINT (320580.23652259406 3319350.0135091734),3353.3442048768807,LH (outlier)
Arab Maadi,13270.584821182016,POINT (332989.07726083224 3316647.7795787374),2370.5514142945212,HL (outlier)
Arab Specialized Hospital (Gesr Al Suez),16092.0,POINT (341193.90692258405 3333944.759259642),3797.25,HH (cluster)
Arab Tuweila,8642.0,POINT (337765.7013665772 3335435.155116571),4677.125,HH (cluster)
Arabella Square,1351.0,POINT (348570.57294597395 3318241.8253960246),766.5,HL (outlier)
Aramex (10th of Ramadan),3072.0,POINT (379394.9886639136 3351496.11928314),1331.375,HL (outlier)
Arayes (Maadi),1128.0,POINT (334632.8751440083 3317682.440662078),1989.0,LL
Ard El Lewaa,5610.0,,,LL
Ard Khedr Pedestrian Bridge (Shubra Al Kheima),19765.0,POINT (330280.4150475651 3334445.3952963063),5899.5,HH (cluster)
Arkadia Mall,243.0,POINT (329087.5678400173 3327854.6055560545),1066.875,LL
Armed Forces Medical Complex (Kobry Al Qobba),2977.0,POINT (335966.53774992906 3329541.9527824516),4593.5,HH (cluster)
Arts Academy (Al Omraneyya ),3080.0,POINT (326393.35655639006 3319966.0988005623),2131.875,HL (outlier)
Asfour Mosque ( Ibrahim Bek ),679.0,POINT (332374.1754732556 3333911.9263421404),3199.75,LH (outlier)
Ashrafco Tyres (Nasr City),561.0,POINT (337980.13060692267 3325565.232542293),2620.375,LH (outlier)
Asmarat,728.0,POINT (340282.65186577826 3318964.229350108),837.5,LL
Aswan Pedestrian Bridge (Shubra Al Kheima),4858.0,POINT (333900.114383049 3332328.2535621426),1298.5,HL (outlier)
Ataba,14939.0,POINT (331017.1421074376 3325982.897998107),6254.991482961539,HH (cluster)
Atfal Misr Hospital ( Abou Al Reesh ),246.0,,,LL
AUC Bus Station,1936.0,,,LL
Audi Bank ( Salah Salem St. ),1203.0,,,LL
Audi Bank (Salah Salem),1160.0,,,LL
Autostrad & Al Moneeb Axis,6036.0,POINT (334174.83559534955 3319431.14606196),2376.307588415008,HL (outlier)
Autostrad Entrance from Al Abageyya,983.0,POINT (332547.06781608507 3322430.215596034),7841.168374162314,LH (outlier)
Autostrad Entrance from Al Maasra,1011.0,POINT (336628.2119185788 3309455.412947168),1143.75,LL
Autostrad Pedestrian Al Shaq,1249.0,,,LL
Autostrad Tunnel,331.0,POINT (335021.2844142853 3317672.3138744608),1917.875,LL
Awlad Ragab Plumbing (6th of October),401.0,POINT (300161.71857520484 3314021.0747227976),962.375,LL
Awlad Sokkar St. & Bigam Rd.,4600.0,POINT (331100.6019981228 3334824.2815609886),11702.625,HH (cluster)
Awwal Abbas Al Akkad,26489.33620304491,POINT (339653.32782268955 3327513.545801343),7756.725965653191,HH (cluster)
Awwal Makram Ebeid,17982.579686078072,POINT (340357.1724450411 3327644.2695743022),8028.42859092871,HH (cluster)
Awwel Al Eshreen (Zenin),10717.0,POINT (324834.47588136187 3323536.038183764),8902.25,HH (cluster)
Awwel Al Zawya,456.0,POINT (333843.67856443557 3330301.7630459066),5302.875,LH (outlier)
Awwel Al Zawya Bus Station,3408.0,POINT (333877.38491696597 3330357.0490961596),4933.875,HH (cluster)
Awwel El Zawya Station,1501.0,POINT (333876.7825823885 3330385.359645184),5172.25,HH (cluster)
Azhar University City for Boys,2930.0,POINT (337644.3555010484 3325547.171576882),947.5,HL (outlier)
Azhari Institute,152.0,POINT (308054.230687259 3324595.198341563),285.625,LL
Azhari Institute (Ahmed Helmy St.),5357.0,POINT (331624.150114884 3327809.60140171),7615.0,HH (cluster)
B Tech (Ahmed Oraby St),4205.0,,,LL
Bab Al Fotouh ( Al Gamalia ),629.0,POINT (332560.01020557137 3326263.7341248216),4175.038690622528,LH (outlier)
Bab Al Karim Mosque - Nahya,1735.0,,,LL
Bab Al Karim Mosque (Nahya),12058.0,POINT (324719.7014466108 3325132.474697967),8378.0,HH (cluster)
Bab Al Khalq ( Qalaa St. ),867.0,POINT (331636.53042020695 3324457.395446917),6772.3215075981425,LH (outlier)
Bab Al Nasr ( Al Gamalia ),453.0,POINT (332779.3924108981 3326076.133951202),3161.085422514167,LH (outlier)
Bab Al Shaaria Square,12084.265758306965,POINT (332020.1673975879 3326154.2025464894),3594.9859062946616,HH (cluster)
Bab Al Shaereyya Girls Elementary School,3138.8464697090085,POINT (332402.8007133078 3326922.1732410984),3111.013887460214,HH (cluster)
Bab Al Shaereyya Hospital,2497.5139168509113,POINT (332317.42005922366 3326772.421199852),4271.599451016164,HH (cluster)
Bab Al Sheareyya Metro,529.0,POINT (331807.3159861725 3325956.8220984596),10887.57046516809,LH (outlier)
Badr,2092.0,POINT (378171.55419001146 3334458.337125474),241.5,HL (outlier)
Badr Land,1822.0,POINT (342716.25160103256 3334187.9528303565),1767.375,HL (outlier)
Badr Pharmacy (Helwan Corniche),1054.0,POINT (335794.4252477318 3299658.949589966),1459.25,LL
Badr Station (Sheikh Zayed),998.0,POINT (303303.1896980089 3326638.860312899),64.625,LL
Badrasheen Bus Station,2310.0,POINT (333462.62010620383 3303123.94710728),1183.0,HL (outlier)
Bahteem,2921.0,POINT (334450.14463457774 3337493.113133756),2733.0,HH (cluster)
Bahteem Specialized Hospital For Surgery,6933.0,POINT (334122.19841683225 3336076.35334688),4266.75,HH (cluster)
Bahteem Square,1601.0,POINT (334107.6090993736 3335698.5483345515),4798.0,HH (cluster)
Bank Al Etihad (South Teseen St.),12.0,POINT (347691.9501244256 3321651.6820242703),1622.25,LL
Banque Misr (Abbas Al Akkad),1268.0,,,LL
Banque Misr (Aghakhan),12277.0,POINT (330749.8698303979 3331503.87835013),5212.75,HH (cluster)
Barageel St.,774.0,POINT (323044.2150147629 3328522.974473072),480.7054180879352,LL
Barageel St. (Ring Rd.),360.0,POINT (324198.3629572534 3328158.615126439),585.1900755403364,LL
Baron Mall Pedestrian Bridge (Ring Rd.),8.0,POINT (339721.66479520197 3317962.0322743035),1061.125,LL
Basateen,4963.460707320064,POINT (333246.91840339906 3318772.1060982067),2380.8733272795957,HL (outlier)
Basateen Police Station,5346.0,POINT (332816.1426048684 3319119.9790182337),1623.557588415008,HL (outlier)
Basateen Steps (Ring Rd.),739.0,POINT (332824.56607820117 3318987.5171867115),2853.557588415008,LH (outlier)
Basha Square (Manial),1837.0,,,LL
Bashayer,127.0,POINT (298613.8046433119 3316994.303539395),799.0,LL
Bashayer Entrance (6th of October),498.0,POINT (299119.138119671 3317425.6332816198),522.25,LL
Bashteel (Ring Rd.),656.0,,,LL
Bashtil,12438.0,POINT (325553.19324399706 3329407.5707391733),1318.8596574524013,HL (outlier)
Bashtil El Balad,2859.0,POINT (324959.92184375133 3329861.9011567826),2516.234657452401,HL (outlier)
Basrawy,21740.0,POINT (327141.95601380034 3329375.0842243773),4326.395134326638,HH (cluster)
Batrawy (Abbas Al Akkad),2215.0,,,LL
Bayt Al Karam Al Shamy (Haram St.),5074.0,POINT (323390.4238118285 3319878.9440251035),4803.0,HH (cluster)
Bein Al Sarayat Youth Center,9.0,POINT (326661.6550613079 3323393.5416084463),4894.0,LH (outlier)
Beirut Square (  Korba ),556.0,,,LL
Berm Al Tounsi St ( Abou Al Reesh ),890.0,POINT (330295.35516353167 3322951.18336485),3592.875,LH (outlier)
Bigam,11778.0,POINT (331019.0381815934 3335057.15261565),6236.75,HH (cluster)
Bisco Misr (Al Zaytoun),10597.0,POINT (335826.9144840486 3331578.7998894877),4643.25,HH (cluster)
Bloom Bank (South Teseen St.),717.0,POINT (347388.9880177141 3321654.2508517527),1246.625,LL
Board of Trustees (6th of October),226.0,POINT (303192.5242296049 3319927.5129073393),746.375,LL
Bohooth,8177.0,POINT (326317.41446255764 3324070.989075084),6009.0,HH (cluster)
Bonook (5th Settlement),1584.0,POINT (348387.94829278416 3321612.813217524),1418.5,HL (outlier)
Brazil St. & 26th of July,2479.0,POINT (328609.36822237924 3326765.1461701724),2223.75,HL (outlier)
Btech (Masr Wal Sudan St.),3861.0,POINT (334415.08032947744 3329259.0582375424),2662.75,HH (cluster)
Bulaq Dakrur,11736.0,POINT (325741.83817018603 3324920.9554283745),7087.125,HH (cluster)
Cairo Airport,8881.0,POINT (345652.2217181197 3333110.2464487264),821.375,HL (outlier)
Cairo Airport Station,1654.0,,,LL
Cairo Alexandria Agriculture Road Pedestrian Mit Nama,3225.0,POINT (329625.1033914966 3335951.205828763),1018.25,HL (outlier)
Cairo Club (Opera St.),265.0,POINT (328630.83763862425 3324641.466191786),2410.5,LL
Cairo Economic Court  (Ring Rd.),14.0,,,LL
Cairo Economic Court (Ring Rd.),56.0,POINT (336380.4218398874 3318701.970124814),2539.625,LL
Cairo Fair Metro,2606.0,POINT (336299.8162129588 3328132.2450129725),2616.75,HH (cluster)
Cairo Festival City (South Teseen St.),995.0,POINT (346417.76600919355 3321627.3849282144),1086.875,LL
Cairo Security Directorate,9516.291113266943,POINT (331547.40608513716 3324910.9860428185),8865.889916561926,HH (cluster)
